protected_idx,original_idx,similarity,protected_id,original_id,confidence,ml_match_probability,ml_refined,distance_refined,refinement_skipped,refinement_distance,refinement_reason
1131,14648,0.9978042648716519,bd58e16a71581f703a82eb839d43b7de,14648,high,1.0,False,False,True,,High confidence
13409,11049,0.9978029659143992,f0b90b4604930a9134b23a4ccab58db0,11049,high,1.0,False,False,True,,High confidence
7960,15776,0.9978028314834294,f774762ca4ee9950f371dad9890b2c17,15776,high,1.0,False,False,True,,High confidence
6455,14591,0.9978013217147071,82c36da4621fff7db8fd95b7608786eb,14591,high,1.0,False,False,True,,High confidence
4960,13256,0.9977992361668931,d765dd4a6c4d5f20a865c43da7257c34,13256,high,1.0,False,False,True,,High confidence
6210,17574,0.9977971071602939,9724a2abe8e0566552035bea58970c58,17574,high,1.0,False,False,True,,High confidence
3267,16382,0.9977957837361113,3cec85d1a71517da4b84727064c8b95b,16382,high,1.0,False,False,True,,High confidence
4230,7125,0.9977956020347052,824a3967f47ed99211898cf78677c990,7125,high,1.0,False,False,True,,High confidence
7692,13408,0.9977954308172093,42bd65c822ee17c11078e2f1649ec03e,13408,high,1.0,False,False,True,,High confidence
10518,11368,0.9977933087527895,ebf0c45ed41914aacfa0e991561d5bf3,11368,high,1.0,False,False,True,,High confidence
1784,9416,0.9977924980936198,c91adaabd50308316d9e498510b7074e,9416,high,1.0,False,False,True,,High confidence
18162,4358,0.9977924926667179,1e089432630225b12702c119c88f3521,4358,high,1.0,False,False,True,,High confidence
11083,15391,0.997791626764675,d26a112bd383fd468963337a8ada6b71,15391,high,1.0,False,False,True,,High confidence
12745,12710,0.9977913200857975,860ca36e002e1df234e3ca2978688152,12710,high,1.0,False,False,True,,High confidence
18651,11700,0.997789836851556,4642f86fddb023ac72fe9c338f5cd78c,11700,high,1.0,False,False,True,,High confidence
17129,5185,0.9977894381160473,56f7f61aa1486dd2a2ed75cae4a03adb,5185,high,1.0,False,False,True,,High confidence
17924,17153,0.9977885249385219,942598cd99fd20de035e90ae21e57b4c,17153,high,1.0,False,False,True,,High confidence
11463,3803,0.9977870568223626,f49b85e9233eef834eb0cfbe17e2c092,3803,high,1.0,False,False,True,,High confidence
7237,3817,0.9977847207122249,8cbcf5c8a473b0bd93355ef30f19f501,3817,high,1.0,False,False,True,,High confidence
11216,16834,0.9977844317463446,5280c74d46aba753432163376688a365,16834,high,1.0,False,False,True,,High confidence
16578,14631,0.9977816637876163,037d2fea0f9824e2cf6c7247217f5c68,14631,high,1.0,False,False,True,,High confidence
16386,18629,0.9977805403357721,f392fec00ee54dae1b7cfe45a63eac6d,18629,high,1.0,False,False,True,,High confidence
14656,2799,0.9977796070594144,d0e140be641b19d6f5b776a7c65c4a76,2799,high,1.0,False,False,True,,High confidence
11942,9969,0.997774778673301,2df6a48fcbba518fa46d199104687f8b,9969,high,1.0,False,False,True,,High confidence
5450,19840,0.9977717998109544,f0badf855891a8ecf64acc09ae39d299,19840,high,1.0,False,False,True,,High confidence
16938,7006,0.9977713250216685,b5ac3ecbacc398c40f0fe65a9f639d11,7006,high,1.0,False,False,True,,High confidence
1584,3043,0.9977625116092161,f7b345f6d0f53780861181fadcfa5581,3043,high,1.0,False,False,True,,High confidence
16414,11186,0.9977616551319161,bbb1479956c8afed43ba81ef355b31e9,11186,high,1.0,False,False,True,,High confidence
11599,19047,0.997760464462009,89478225da644dad48bf16979b34e5f8,19047,high,1.0,False,False,True,,High confidence
7130,1451,0.9977593014587596,2e7b7c5eef7b8f575d4973b0faaa55a6,1451,high,1.0,False,False,True,,High confidence
4351,13243,0.9977571147542185,575b9b36efded4279056216abf324ce3,13243,high,1.0,False,False,True,,High confidence
16688,8566,0.9977552298843625,dee3e54d922b72ea3b62635e4c6cc335,8566,high,1.0,False,False,True,,High confidence
1937,6706,0.9977532787350906,82e2df663452c9dbd53cbd3fce9526cb,6706,high,1.0,False,False,True,,High confidence
14500,4516,0.9977531235403538,89b1d5687e60566d134f0e9eac199d00,4516,high,1.0,False,False,True,,High confidence
11929,18503,0.9977510512874878,38a4da61793356e357b3f1d402f05539,18503,high,1.0,False,False,True,,High confidence
